backend,selected_kernel,work_group_size,cl_compiler_options,matrix_dimensions,elapsed_s
myGEMM.cl, 1,16,-cl-std=CL1.2,1024, 3.46598
myGEMM.cl, 2,16,-cl-std=CL1.2,1024, 1.10743
myGEMM.cl, 3,16,-cl-std=CL1.2,1024, 0.44762
myGEMM.cl, 3,32,-cl-std=CL1.2,1024, 0.94823
myGEMM.cl, 4,16,-cl-std=CL1.2,1024, 0.37228
myGEMM.cl, 4,32,-cl-std=CL1.2,1024, 0.39341
myGEMM.cl, 5,16,-cl-std=CL1.2,1024, 0.42498
myGEMM.cl, 5,32,-cl-std=CL1.2,1024, 0.38090
myGEMM.cl, 6,16,-cl-std=CL1.2,1024, 8.95969
myGEMM.cl, 6,32,-cl-std=CL1.2,1024, 9.48720
myGEMM.cl, 7,16,-cl-std=CL1.2,1024,10.24861
myGEMM.cl, 7,32,-cl-std=CL1.2,1024,10.26126
myGEMM.cl, 8,16,-cl-std=CL1.2,1024,10.84397
myGEMM.cl, 8,32,-cl-std=CL1.2,1024,10.20081
myGEMM.cl, 9,16,-cl-std=CL1.2,1024,11.77228
myGEMM.cl, 9,32,-cl-std=CL1.2,1024,10.82421
myGEMM.cl,10,16,-cl-std=CL1.2,1024,11.25869
myGEMM.cl,10,32,-cl-std=CL1.2,1024,10.85316
myGEMM.cl, 1,16,-cl-std=CL1.2,1024, 3.51296
myGEMM.cl, 2,16,-cl-std=CL1.2,1024, 1.11760
myGEMM.cl, 3,16,-cl-std=CL1.2,1024, 0.42740
myGEMM.cl, 3,32,-cl-std=CL1.2,1024, 0.45095
myGEMM.cl, 4,16,-cl-std=CL1.2,1024, 0.37057
myGEMM.cl, 4,32,-cl-std=CL1.2,1024, 0.40004
myGEMM.cl, 5,16,-cl-std=CL1.2,1024, 0.42475
myGEMM.cl, 5,32,-cl-std=CL1.2,1024, 0.37317
myGEMM.cl, 6,16,-cl-std=CL1.2,1024, 9.40331
myGEMM.cl, 6,32,-cl-std=CL1.2,1024, 9.04942
myGEMM.cl, 7,16,-cl-std=CL1.2,1024,10.32862
myGEMM.cl, 7,32,-cl-std=CL1.2,1024,10.43906
myGEMM.cl, 8,16,-cl-std=CL1.2,1024,10.35753
myGEMM.cl, 8,32,-cl-std=CL1.2,1024,10.39396
myGEMM.cl, 9,16,-cl-std=CL1.2,1024,10.70638
myGEMM.cl, 9,32,-cl-std=CL1.2,1024,10.70266
myGEMM.cl,10,16,-cl-std=CL1.2,1024,10.93519
