backend,selected_kernel,work_group_size,cl_compiler_options,matrix_dimensions,elapsed_s
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00050
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00386
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.03458
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.26359
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00049
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00382
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.03448
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.26428
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00051
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00377
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.03321
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.26573
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00048
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00380
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.03458
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.26534
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00049
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00388
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.03500
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.26677
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00049
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00388
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.03484
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.26477
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00064
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00499
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.04285
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.26719
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00049
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00388
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.03420
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.26567
