backend,selected_kernel,work_group_size,cl_compiler_options,matrix_dimensions,elapsed_s
clBlas, 3,32,-cl-std=CL1.2,1024, 0.01787
myGEMM.cu, 3,32,-cl-std=CL1.2,1024, 0.00208
myGEMM.cl, 3,32,-cl-std=CL1.2,1024, 0.04270
   cuBLAS, 3,32,-cl-std=CL1.2,2048, 0.00631
   clBlas, 3,32,-cl-std=CL1.2,2048, 0.14551
myGEMM.cu, 3,32,-cl-std=CL1.2,2048, 0.01599
myGEMM.cl, 3,32,-cl-std=CL1.2,2048, 0.34899
   cuBLAS, 3,32,-cl-std=CL1.2,4096, 0.04406
   clBlas, 3,32,-cl-std=CL1.2,4096, 1.54290
myGEMM.cu, 3,32,-cl-std=CL1.2,4096, 0.11066
myGEMM.cl, 3,32,-cl-std=CL1.2,4096, 2.79768
   clBlas, 3,16,-cl-std=CL1.2,1024, 0.01915
myGEMM.cu, 3,16,-cl-std=CL1.2,1024, 0.00197
myGEMM.cl, 3,16,-cl-std=CL1.2,1024, 0.04632
   cuBLAS, 3,16,-cl-std=CL1.2,2048, 0.00564
   clBlas, 3,16,-cl-std=CL1.2,2048, 0.14597
myGEMM.cu, 3,16,-cl-std=CL1.2,2048, 0.01802
myGEMM.cl, 3,16,-cl-std=CL1.2,2048, 0.42792
   cuBLAS, 3,16,-cl-std=CL1.2,4096, 0.04422
   clBlas, 3,16,-cl-std=CL1.2,4096, 1.53738
myGEMM.cu, 3,16,-cl-std=CL1.2,4096, 0.15187
myGEMM.cl, 3,16,-cl-std=CL1.2,4096, 3.05049
   clBlas, 4,32,-cl-std=CL1.2,1024, 0.01787
myGEMM.cu, 4,32,-cl-std=CL1.2,1024, 0.00311
myGEMM.cl, 4,32,-cl-std=CL1.2,1024, 0.04115
   cuBLAS, 4,32,-cl-std=CL1.2,2048, 0.00553
   clBlas, 4,32,-cl-std=CL1.2,2048, 0.14418
myGEMM.cu, 4,32,-cl-std=CL1.2,2048, 0.02437
myGEMM.cl, 4,32,-cl-std=CL1.2,2048, 0.32153
   cuBLAS, 4,32,-cl-std=CL1.2,4096, 0.04431
   clBlas, 4,32,-cl-std=CL1.2,4096, 1.53728
myGEMM.cu, 4,32,-cl-std=CL1.2,4096, 0.17908
myGEMM.cl, 4,32,-cl-std=CL1.2,4096, 2.75376
   clBlas, 4,16,-cl-std=CL1.2,1024, 0.01829
myGEMM.cu, 4,16,-cl-std=CL1.2,1024, 0.00300
myGEMM.cl, 4,16,-cl-std=CL1.2,1024, 0.04444
   cuBLAS, 4,16,-cl-std=CL1.2,2048, 0.00500
   clBlas, 4,16,-cl-std=CL1.2,2048, 0.14334
myGEMM.cu, 4,16,-cl-std=CL1.2,2048, 0.02396
myGEMM.cl, 4,16,-cl-std=CL1.2,2048, 0.36865
   cuBLAS, 4,16,-cl-std=CL1.2,4096, 0.04481
   clBlas, 4,16,-cl-std=CL1.2,4096, 1.54471
myGEMM.cu, 4,16,-cl-std=CL1.2,4096, 0.21077
myGEMM.cl, 4,16,-cl-std=CL1.2,4096, 2.97196
   clBlas, 5,32,-cl-std=CL1.2,1024, 0.01783
myGEMM.cu, 5,32,-cl-std=CL1.2,1024, 0.00192
myGEMM.cl, 5,32,-cl-std=CL1.2,1024, 0.03510
   cuBLAS, 5,32,-cl-std=CL1.2,2048, 0.00533
   clBlas, 5,32,-cl-std=CL1.2,2048, 0.14459
myGEMM.cu, 5,32,-cl-std=CL1.2,2048, 0.01479
myGEMM.cl, 5,32,-cl-std=CL1.2,2048, 0.28528
   cuBLAS, 5,32,-cl-std=CL1.2,4096, 0.04552
   clBlas, 5,32,-cl-std=CL1.2,4096, 1.54467
myGEMM.cu, 5,32,-cl-std=CL1.2,4096, 0.12417
myGEMM.cl, 5,32,-cl-std=CL1.2,4096, 2.43158
   clBlas, 5,16,-cl-std=CL1.2,1024, 0.01810
myGEMM.cu, 5,16,-cl-std=CL1.2,1024, 0.00266
myGEMM.cl, 5,16,-cl-std=CL1.2,1024, 0.04223
   cuBLAS, 5,16,-cl-std=CL1.2,2048, 0.00521
   clBlas, 5,16,-cl-std=CL1.2,2048, 0.14567
myGEMM.cu, 5,16,-cl-std=CL1.2,2048, 0.02479
myGEMM.cl, 5,16,-cl-std=CL1.2,2048, 0.37300
   cuBLAS, 5,16,-cl-std=CL1.2,4096, 0.04506
   clBlas, 5,16,-cl-std=CL1.2,4096, 1.54584
myGEMM.cu, 5,16,-cl-std=CL1.2,4096, 0.19904
myGEMM.cl, 5,16,-cl-std=CL1.2,4096, 2.80888
   clBlas, 6,32,-cl-std=CL1.2,1024, 0.01955
myGEMM.cu, 6,32,-cl-std=CL1.2,1024, 0.00105
myGEMM.cl, 6,32,-cl-std=CL1.2,1024, 0.02218
   cuBLAS, 6,32,-cl-std=CL1.2,2048, 0.00539
   clBlas, 6,32,-cl-std=CL1.2,2048, 0.14690
myGEMM.cu, 6,32,-cl-std=CL1.2,2048, 0.00689
myGEMM.cl, 6,32,-cl-std=CL1.2,2048, 0.17882
   cuBLAS, 6,32,-cl-std=CL1.2,4096, 0.04548
   clBlas, 6,32,-cl-std=CL1.2,4096, 1.54912
myGEMM.cu, 6,32,-cl-std=CL1.2,4096, 0.05804
myGEMM.cl, 6,32,-cl-std=CL1.2,4096, 1.44565
   clBlas, 6,16,-cl-std=CL1.2,1024, 0.01975
myGEMM.cu, 6,16,-cl-std=CL1.2,1024, 0.00117
myGEMM.cl, 6,16,-cl-std=CL1.2,1024, 0.02168
   cuBLAS, 6,16,-cl-std=CL1.2,2048, 0.00573
